City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Desc
209,Deputatskiy,RU,69.3,139.9,69.42,38,51,23.85,broken clouds
210,Tiksi,RU,71.6872,128.8694,48.54,71,72,4.32,broken clouds
211,Hobyo,SO,5.3505,48.5268,76.44,76,87,21.05,overcast clouds
212,Reitz,ZA,-27.8014,28.4273,40.24,44,0,0.69,clear sky
213,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,51.57,21,78,4.5,broken clouds
214,Namibe,AO,-15.1961,12.1522,68.79,66,18,5.99,few clouds
215,Talara,PE,-4.5772,-81.2719,66.13,88,6,16.69,clear sky
216,Green River,US,41.5286,-109.4662,68.4,99,76,3.0,broken clouds
217,Alice Springs,AU,-23.7,133.8833,85.55,16,0,26.46,clear sky
218,Cherskiy,RU,68.75,161.3,40.73,94,100,12.93,overcast clouds
219,Havre,FR,49.5833,0.3333,60.57,82,90,17.27,overcast clouds
220,Dikson,RU,73.5069,80.5464,41.92,99,100,6.29,overcast clouds
221,Thompson,CA,55.7435,-97.8558,62.76,59,20,8.05,smoke
222,Suba,PH,10.8438,121.0102,84.42,78,100,15.12,overcast clouds
223,Ballina,AU,-28.8667,153.5667,73.44,46,0,6.91,clear sky
224,Ariquemes,BR,-9.9133,-63.0408,64.89,48,1,3.04,clear sky
225,Constitucion,CL,-35.3333,-72.4167,50.9,82,8,6.62,clear sky
226,Le Port,RE,-20.9373,55.2919,66.2,68,14,7.65,few clouds
227,Te Anau,NZ,-45.4167,167.7167,45.75,96,100,1.61,overcast clouds
228,Seydi,TM,39.4816,62.9137,85.91,19,51,17.05,broken clouds
229,Saint George,US,37.1041,-113.5841,87.44,45,1,1.01,clear sky
230,Yablochnyy,RU,47.1661,142.0661,82.35,84,100,7.7,overcast clouds
231,Ahipara,NZ,-35.1667,173.1667,59.4,72,100,14.25,overcast clouds
232,Vila Velha,BR,-20.3297,-40.2925,64.35,63,0,8.05,clear sky
233,Salalah,OM,17.0151,54.0924,77.09,94,90,10.36,overcast clouds
234,Northam,GB,51.0333,-4.2167,60.66,90,43,11.1,scattered clouds
235,College,US,64.8569,-147.8028,73.38,56,75,6.91,broken clouds
236,Mareeba,AU,-17.0,145.4333,83.32,57,57,8.95,broken clouds
237,Rawson,AR,-43.3002,-65.1023,45.12,42,1,14.47,clear sky
238,Hami,CN,42.8,93.45,90.52,20,100,8.08,overcast clouds
239,Kayes,ML,14.0,-11.0,75.09,93,100,4.94,overcast clouds
240,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,69.17,37,0,5.84,clear sky
241,Chokurdakh,RU,70.6333,147.9167,55.22,55,25,20.58,scattered clouds
