City_ID,City,Country,Max Temp,Current Desc,Lat,Lng,Hotel Name
344,Djibo,BF,84.83,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
345,Hay River,CA,76.98,few clouds,60.8156,-115.7999,Ptarmigan Inn
346,Lakatoro,VU,78.22,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
347,Nelson Bay,AU,74.28,few clouds,-32.7167,152.15,Mantra Nelson Bay
349,Bogande,BF,81.1,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
350,Baykit,RU,71.06,overcast clouds,61.67,96.37,
352,Kuliyapitiya,LK,82.08,scattered clouds,7.4688,80.0401,Rest House
353,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
354,Avera,US,83.75,overcast clouds,33.194,-82.5271,
356,Myaundzha,RU,60.94,broken clouds,63.0494,147.1858,
357,Lauf,DE,61.05,clear sky,48.65,8.1333,Hotel Burg Windeck Bühl
358,Merritt Island,US,85.06,clear sky,28.5392,-80.672,
359,Khorramabad,IR,69.42,clear sky,33.4878,48.3558,Azadi Hotel
360,Agnibilekrou,CI,70.74,overcast clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
361,Old Saybrook,US,69.98,clear sky,41.2918,-72.3762,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
362,Sohag,EG,79.09,scattered clouds,26.557,31.6948,Civil Registry - Sohag 1
363,Tibiri,NE,76.96,broken clouds,13.5627,7.0485,
365,Kirya,TZ,66.42,overcast clouds,-3.9167,37.4833,
366,Kotma,IN,73.96,moderate rain,23.2,81.9667,Abhishek dwivedi
369,Mandera,KE,73.38,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
370,Alta Floresta,BR,64.27,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
371,Maridi,SS,65.61,overcast clouds,4.9158,29.4742,
373,Mocuba,MZ,63.55,broken clouds,-16.8392,36.9856,Phama Lodge
375,Shimoda,JP,85.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
376,Babylon,US,72.03,clear sky,40.6957,-73.3257,Relax Inn Motel
377,Sitka,US,66.09,scattered clouds,57.0531,-135.33,Westmark Sitka
378,Kourou,GF,82.11,clear sky,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
380,Timizart,DZ,83.59,broken clouds,36.8,4.2667,yefssah restaurant
382,Verkh-Usugli,RU,71.29,clear sky,52.7,115.1667,"Gostinitsa ""Sever"""
388,Kashi,CN,85.21,clear sky,39.4547,75.9797,帕米尔青年旅舍
389,Ambilobe,MG,67.84,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
390,Tadine,NC,70.03,clear sky,-21.55,167.8833,
394,Bonthe,SL,76.1,moderate rain,7.5264,-12.505,Bonthe Holiday Village
395,Orangeburg,US,84.16,scattered clouds,33.4918,-80.8557,Palmetto Inn & Suites
396,Nosy Varika,MG,68.07,light rain,-20.5833,48.5333,Hotel Volazara
397,Isaka,TZ,61.9,scattered clouds,-3.9,32.9333,SUBMARINE HOTELS LTD
398,Carbonia,IT,77.0,few clouds,39.1672,8.5222,Lu 'Hotel
399,Saint Anthony,US,71.53,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
400,Karonga,MW,66.92,broken clouds,-9.9333,33.9333,Sumuka Inn
401,Camargo,MX,75.04,broken clouds,27.6667,-105.1667,Hotel Santa Fe
402,Marzuq,YE,73.24,broken clouds,14.4,46.4667,
404,Harper,LR,75.22,light rain,4.375,-7.7169,Screensaver
408,Kandrian,PG,82.98,moderate rain,-6.2167,149.55,Kandrian Station
409,Coon Rapids,US,71.78,smoke,45.12,-93.2877,"Holiday Inn Express & Suites Coon Rapids-Blaine Area, an IHG Hotel"
410,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
411,Madimba,TZ,69.28,few clouds,-10.4,40.3333,
412,Hinton,CA,77.04,clear sky,53.4001,-117.5857,Econo Lodge & Suites
413,Odienne,CI,70.77,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
415,Forestville,US,77.29,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
416,Yankton,US,66.11,haze,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
418,Oktyabrskiy,RU,67.51,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
419,Maues,BR,75.9,broken clouds,-3.3836,-57.7186,Hotel Miramar
420,Bambous Virieux,MU,70.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
421,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
422,Vera Cruz,BR,65.77,overcast clouds,-12.6333,-41.0333,
423,Poum,NC,70.02,clear sky,-20.2333,164.0167,Gîte kajeon
427,Huarmey,PE,64.51,broken clouds,-10.0681,-78.1522,Hotel Miramar
428,Eyl,SO,77.4,overcast clouds,7.9803,49.8164,Amiin Hotel
431,Nueva Loja,EC,63.21,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
434,Tayu,ID,89.04,clear sky,-6.5397,111.0518,Toko pakaian bu is Tayu
435,Acarau,BR,78.35,overcast clouds,-2.8856,-40.12,castelo pizzaria
436,Hovd,MN,63.27,overcast clouds,48.0056,91.6419,Hotel Khovd
439,Civitanova Marche,IT,79.86,clear sky,43.307,13.7206,Cosmopolitan Business Hotel
442,Gaya,IN,76.91,heavy intensity rain,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
443,Makokou,GA,69.3,broken clouds,0.5738,12.8642,Motel des voyageurs
445,Dharmadam,IN,81.45,overcast clouds,11.7833,75.4333,Samudra Homes
446,Cumberland,US,84.7,clear sky,35.0502,-78.8664,American Eagle Inn
448,Angoram,PG,84.06,overcast clouds,-4.0625,144.0661,
449,Taksimo,RU,75.63,broken clouds,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
450,Kishi,NG,71.02,light rain,9.0833,3.85,New NCCF KISI
451,Micheweni,TZ,73.11,moderate rain,-4.9667,39.8333,
452,Nanganga,TZ,65.39,few clouds,-10.3833,39.15,Nanganga Station
453,Lodwar,KE,75.7,light rain,3.1191,35.5973,Solmar Gracious Hotel
454,Fort Nelson,CA,80.19,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
455,Matara,LK,84.13,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
456,Sao Felix Do Xingu,BR,70.92,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
457,Sabang,ID,82.26,overcast clouds,5.8933,95.3214,Hotel Citra
458,Mbaiki,CF,68.9,overcast clouds,3.8678,17.9892,
460,Peniche,PT,63.88,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
461,Ulladulla,AU,70.88,broken clouds,-35.35,150.4667,Sandpiper Motel
462,Boyolangu,ID,82.02,broken clouds,-8.1181,111.8935,Yos ega cv
463,Nagato,JP,88.25,broken clouds,34.3833,131.2,いそう庵
464,Birjand,IR,70.27,haze,32.8663,59.2211,Birjand Tourist Hotel
465,Vysokogornyy,RU,62.11,overcast clouds,50.1167,139.15,
466,Dakar,SN,82.53,broken clouds,14.6937,-17.4441,Redface Studios Meublés
468,Narsaq,GL,61.02,overcast clouds,60.9167,-46.05,Narsaq Kayak Hostel
471,Buala,SB,82.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
472,Fort-Shevchenko,KZ,82.36,clear sky,44.5086,50.263,Oasis hotel Bautino
474,Naze,JP,83.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
476,Anchorage,US,65.21,overcast clouds,61.2181,-149.9003,Hotel Captain Cook
479,Simao,CN,80.71,overcast clouds,22.7886,100.9748,Changyu Hotel
484,Kloulklubed,PW,88.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
486,Samagaltay,RU,61.83,overcast clouds,50.6022,95.0047,
487,Ramachandrapuram,IN,86.41,overcast clouds,16.85,82.0167,RR Grand Lodge
488,Hervey Bay,AU,71.71,clear sky,-25.2986,152.8535,Shelly Bay Resort
489,Riga,LV,61.92,scattered clouds,57.0,24.0833,Hotel Skanste
490,Monterey,US,63.84,clear sky,36.2505,-121.2516,
491,Akle,PH,87.76,overcast clouds,15.0482,121.0733,MOUNTAINVIEW RESORT (Official)
