City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Srednekolymsk,RU,2021-07-30 01:11:46,67.45,153.6833,47.25,54,89,9.46
233,Klyuchi,RU,2021-07-30 01:11:46,52.2667,79.1667,58.23,61,21,7.4
234,Macas,EC,2021-07-30 01:11:47,-2.3167,-78.1167,66.54,98,100,0.6
235,Takoradi,GH,2021-07-30 01:11:47,4.8845,-1.7554,75.58,88,28,8.03
236,Tuktoyaktuk,CA,2021-07-30 01:11:48,69.4541,-133.0374,50.67,90,97,8.21
237,Kholm,RU,2021-07-30 01:11:48,59.2667,32.85,58.55,97,14,5.35
238,Tura,IN,2021-07-30 01:11:49,25.5198,90.2201,74.64,91,100,6.08
239,Coos Bay,US,2021-07-30 01:10:54,43.3665,-124.2179,67.98,94,90,16.11
240,Bandarbeyla,SO,2021-07-30 01:11:49,9.4942,50.8122,76.78,76,100,28.7
241,Arraial Do Cabo,BR,2021-07-30 01:11:50,-22.9661,-42.0278,63.23,56,99,21.7
242,Vardo,NO,2021-07-30 01:11:50,70.3705,31.1107,45.07,86,100,5.08
243,Murbad,IN,2021-07-30 01:11:51,19.25,73.4,81.61,94,100,7.4
244,Raga,SS,2021-07-30 01:11:51,8.4596,25.678,68.54,96,100,5.08
245,Asha,RU,2021-07-30 01:11:51,54.9973,57.2722,54.09,97,100,5.01
246,Benghazi,LY,2021-07-30 01:11:52,32.1167,20.0667,81.1,76,0,14.54
247,Medowie,AU,2021-07-30 01:11:52,-32.7333,151.8667,63.7,57,0,9.22
248,Gumian,PH,2021-07-30 01:11:53,14.7086,121.6172,85.12,82,100,9.4
249,Talnakh,RU,2021-07-30 01:11:53,69.4865,88.3972,59.38,82,100,4.88
250,Pisco,PE,2021-07-30 01:11:53,-13.7,-76.2167,63.01,82,90,6.91
251,Izhma,RU,2021-07-30 01:11:54,65.0083,53.9113,46.98,85,100,3.47
252,Hambantota,LK,2021-07-30 01:11:54,6.1241,81.1185,79.93,81,41,19.55
253,Bakchar,RU,2021-07-30 01:11:55,57.0186,82.0711,54.9,90,1,1.41
254,Spring Valley,US,2021-07-30 01:11:55,36.108,-115.245,103.12,18,1,3.44
255,Mackay,AU,2021-07-30 01:10:30,-21.15,149.2,74.68,82,98,16.06
256,Zhanaozen,KZ,2021-07-30 01:11:56,43.3,52.8,75.43,26,97,9.55
257,High Level,CA,2021-07-30 01:11:56,58.5169,-117.136,79.5,33,98,7.58
258,Shadegan,IR,2021-07-30 01:11:56,30.6497,48.6647,94.41,17,0,9.42
259,Ilulissat,GL,2021-07-30 01:11:57,69.2167,-51.1,48.22,76,99,3.44
260,Vilhena,BR,2021-07-30 01:10:14,-12.7406,-60.1458,57.11,42,9,3.67
261,Caruray,PH,2021-07-30 01:11:57,10.3094,119.0128,86.25,66,99,12.21
262,Birobidzhan,RU,2021-07-30 01:11:58,48.8,132.95,85.23,52,29,3.31
263,Hilo,US,2021-07-30 01:11:58,19.7297,-155.09,83.93,70,75,5.75
264,Te Anau,NZ,2021-07-30 01:11:59,-45.4167,167.7167,51.13,80,100,1.59
265,Barcelos,PT,2021-07-30 01:11:59,41.5388,-8.6151,63.28,91,0,3.2
266,Huarmey,PE,2021-07-30 01:11:59,-10.0681,-78.1522,65.12,85,52,7.61
267,Ixtapa,MX,2021-07-30 01:07:11,20.7,-105.2,86.23,79,75,9.22
268,Shubarkuduk,KZ,2021-07-30 01:12:00,49.1447,56.4872,66.09,34,100,1.79
269,Taltal,CL,2021-07-30 01:12:01,-25.4,-70.4833,61.29,57,0,5.39
270,Peniche,PT,2021-07-30 01:12:01,39.3558,-9.3811,64.62,90,0,15.39
271,Davila,PH,2021-07-30 01:12:01,18.4726,120.5763,83.39,82,100,22.73
272,Nijar,ES,2021-07-30 01:12:02,36.9665,-2.206,73.04,88,20,3.44
273,Cocorit,MX,2021-07-30 01:12:02,27.5833,-109.9667,97.14,42,17,16.42
274,Provideniya,RU,2021-07-30 01:12:03,64.3833,-173.3,51.91,76,75,15.66
275,Stornoway,GB,2021-07-30 01:12:03,58.2093,-6.3865,59.94,94,90,5.75
276,Nome,US,2021-07-30 01:12:03,64.5011,-165.4064,50.16,93,90,12.66
277,Port Hawkesbury,CA,2021-07-30 01:12:04,45.6169,-61.3485,64.58,85,100,1.01
278,Turayf,SA,2021-07-30 01:12:04,31.6725,38.6637,76.75,39,0,8.81
279,Yeghegnavan,AM,2021-07-30 01:12:05,39.838,44.6253,64.8,67,0,0.89
280,Omsukchan,RU,2021-07-30 01:12:05,62.5333,155.8,36.25,93,100,9.62
281,Salinopolis,BR,2021-07-30 01:12:06,-0.6136,-47.3561,77.49,87,18,8.95
282,Saginaw,US,2021-07-30 01:12:06,43.3334,-84.0333,77.65,88,1,4.61
283,Vao,NC,2021-07-30 01:12:06,-22.6667,167.4833,71.58,66,0,15.48
284,Newark,US,2021-07-30 01:12:00,40.7357,-74.1724,73.35,91,75,8.05
285,Bowmore,US,2021-07-30 01:12:07,34.9421,-79.3031,86.9,75,1,1.99
286,Nemours,FR,2021-07-30 01:12:08,48.2751,2.6908,62.19,80,82,7.2
287,Airai,TL,2021-07-30 01:12:08,-8.9266,125.4092,72.39,38,7,3.62
288,Rybnaya Sloboda,RU,2021-07-30 01:12:09,55.4613,50.1409,64.38,96,75,8.34
289,Zhicheng,CN,2021-07-30 01:12:09,30.2956,111.5047,84.78,73,0,1.77
290,Nuuk,GL,2021-07-30 01:12:09,64.1835,-51.7216,47.01,87,0,8.05
291,Vestmanna,FO,2021-07-30 01:12:10,62.1564,-7.1664,50.92,100,75,1.14
292,Isangel,VU,2021-07-30 01:12:10,-19.55,169.2667,76.12,76,32,7.45
293,Viedma,AR,2021-07-30 01:11:21,-40.8135,-62.9967,52.79,33,4,13.89
294,Atambua,ID,2021-07-30 01:12:11,-9.1061,124.8925,81.18,51,10,1.14
